イヌパワー,ネコスピード,カメバリア,サルジャンプ,ドラゴンポイント,タヌキ運,フクロウ知恵,ライオン勇気,ウサギ敏捷,ペンギン冷静
18,7,83,76,38,14,97,7,15,31
42,27,26,59,28,48,12,49,83,53
9,71,73,43,11,3,45,62,57,56
64,24,10,71,25,24,21,11,85,26
52,19,77,54,27,14,58,50,65,35
29,37,24,11,18,6,94,74,71,46
41,83,88,3,54,93,33,59,84,37
24,40,77,54,81,37,87,69,7,61
47,33,84,48,61,31,21,13,78,89
19,87,21,89,94,40,7,77,16,14
4,62,24,78,50,54,45,69,52,100
45,9,12,13,4,91,92,71,47,82
72,35,53,21,45,60,59,36,79,13
9,97,90,26,14,37,49,94,49,78
61,17,13,46,58,2,34,20,27,7
21,96,53,14,12,39,45,83,6,91
26,20,91,38,75,30,58,50,76,60
72,53,19,66,58,97,20,33,96,46
29,75,9,76,67,32,6,57,88,25
26,26,10,51,44,91,98,9,39,11
6,75,15,90,70,93,53,49,58,75
50,98,55,86,85,80,98,50,46,59
43,0,64,66,90,50,8,23,11,34
36,64,56,3,27,15,33,4,62,25
70,31,45,100,82,58,94,3,44,24
98,6,41,94,66,15,89,27,97,30
4,100,1,99,65,87,31,92,35,73
88,32,63,1,14,70,72,35,47,63
47,65,40,64,27,26,45,82,50,87
31,12,86,42,18,70,12,76,23,54
49,42,99,16,79,50,41,40,16,5
46,4,69,25,40,65,87,66,41,2
95,76,67,18,43,22,83,57,95,48
65,54,90,23,55,27,38,43,7,36
49,42,48,28,5,52,65,39,83,6
72,94,99,91,95,18,35,42,39,32
12,41,97,68,22,82,1,84,28,33
8,25,73,13,14,39,77,92,73,19
5,49,97,69,91,90,29,53,26,25
70,86,69,89,31,1,41,60,100,65
64,17,29,31,48,28,34,36,23,25
21,82,87,43,67,89,3,46,59,36
25,55,94,24,87,87,29,3,7,77
50,58,50,83,94,37,78,62,54,74
54,100,86,61,66,43,79,58,55,61
50,38,2,10,6,52,22,97,48,84
98,100,44,44,54,81,73,74,87,45
