order_id,customer_id,order_date,product_id,category,price,quantity,payment_method,region,total_amount
1,9167,2025-03-11,152,書籍,11821,1,銀行振込,名古屋,11821
2,8303,2024-09-04,681,書籍,11708,1,現金,名古屋,11708
3,3709,2025-04-08,791,書籍,18666,2,楽天ペイ,福岡,37332
4,1281,2024-08-17,596,家電,13015,1,現金,札幌,13015
5,7148,2024-07-05,783,家具,1510,1,PayPay,大阪,1510
6,5226,2025-02-28,253,衣類,9346,2,楽天ペイ,名古屋,18692
7,9551,2024-12-14,437,書籍,3085,3,クレジットカード,福岡,9255
8,2942,2024-09-19,884,家電,7483,3,現金,大阪,22449
9,8617,2025-04-02,120,食品,7028,1,PayPay,福岡,7028
10,9413,2024-09-05,662,食品,1337,1,現金,東京,1337
11,9955,2025-05-03,223,家電,11297,1,PayPay,東京,11297
12,8855,2025-02-24,874,家電,584,4,クレジットカード,名古屋,2336
13,6456,2025-03-20,168,書籍,9536,2,現金,福岡,19072
14,2193,2024-07-03,221,食品,6086,3,クレジットカード,札幌,18258
15,7983,2024-12-10,525,食品,6254,4,クレジットカード,東京,25016
16,4224,2024-09-02,630,衣類,18239,3,現金,大阪,54717
17,5094,2025-04-13,690,家電,1067,3,楽天ペイ,札幌,3201
18,3042,2024-05-07,191,家具,1427,1,クレジットカード,大阪,1427
19,7698,2024-06-24,337,家電,10985,3,クレジットカード,札幌,32955
20,4480,2024-09-05,617,食品,2563,2,銀行振込,東京,5126
21,6719,2024-11-09,700,食品,18941,3,PayPay,名古屋,56823
22,8066,2024-12-05,670,家電,18625,3,銀行振込,名古屋,55875
23,5175,2024-09-07,892,家具,10976,3,PayPay,札幌,32928
24,9994,2025-04-12,410,家電,9924,3,クレジットカード,名古屋,29772
25,5433,2024-05-31,280,衣類,17012,2,現金,大阪,34024
26,8072,2024-10-02,750,書籍,6052,4,銀行振込,福岡,24208
27,8229,2024-10-17,277,食品,17393,1,楽天ペイ,大阪,17393
28,4965,2025-02-25,268,衣類,3334,2,クレジットカード,大阪,6668
29,4185,2025-03-21,242,食品,6920,3,楽天ペイ,福岡,20760
30,5983,2024-05-11,765,書籍,11132,4,クレジットカード,名古屋,44528
31,7084,2025-03-07,262,書籍,2904,3,PayPay,大阪,8712
32,3148,2024-07-21,352,衣類,3899,1,現金,福岡,3899
33,8045,2024-12-09,353,家電,4401,4,PayPay,札幌,17604
34,7152,2025-02-09,395,衣類,7133,1,楽天ペイ,名古屋,7133
35,5089,2025-04-09,276,家具,702,4,現金,福岡,2808
36,5805,2025-01-20,862,衣類,4814,2,PayPay,福岡,9628
37,1858,2025-04-18,473,食品,8532,3,現金,大阪,25596
38,8627,2025-04-19,497,家電,19147,4,楽天ペイ,札幌,76588
39,1160,2024-10-13,304,家電,4622,3,楽天ペイ,福岡,13866
40,6731,2025-02-10,122,食品,19893,4,クレジットカード,大阪,79572
41,2130,2025-01-21,776,家電,14394,3,楽天ペイ,札幌,43182
42,9739,2024-11-12,564,家具,15807,3,現金,大阪,47421
43,9431,2024-12-30,802,食品,5544,4,クレジットカード,福岡,22176
44,5973,2025-03-14,565,家電,10978,4,銀行振込,名古屋,43912
45,7218,2025-01-05,908,家具,6811,3,銀行振込,東京,20433
46,2689,2024-05-20,481,家電,19473,3,クレジットカード,大阪,58419
47,6636,2024-11-12,287,家具,16871,1,クレジットカード,札幌,16871
48,8975,2025-01-23,256,家電,8652,4,現金,札幌,34608
49,6748,2025-04-23,428,食品,10264,1,クレジットカード,大阪,10264
50,8933,2024-12-22,608,衣類,19585,3,楽天ペイ,名古屋,58755
51,1584,2024-09-10,921,食品,19967,3,クレジットカード,福岡,59901
52,9914,2024-08-18,360,衣類,17925,3,銀行振込,札幌,53775
53,3571,2024-06-22,983,家電,15678,2,クレジットカード,大阪,31356
54,9179,2024-08-12,318,家電,16082,2,楽天ペイ,東京,32164
55,1024,2025-01-06,860,食品,19401,2,クレジットカード,大阪,38802
56,7551,2024-10-04,471,家電,19539,4,現金,大阪,78156
57,6937,2024-06-16,316,衣類,5839,3,現金,名古屋,17517
58,7276,2024-06-23,387,衣類,12837,3,クレジットカード,大阪,38511
59,9302,2025-04-05,362,食品,13271,2,楽天ペイ,札幌,26542
60,9277,2024-12-14,804,書籍,3879,2,現金,大阪,7758
61,9085,2024-05-13,206,衣類,533,3,PayPay,福岡,1599
62,2926,2024-08-02,736,家具,4828,2,PayPay,札幌,9656
63,6732,2024-09-22,693,家電,12100,3,楽天ペイ,大阪,36300
64,3980,2025-02-28,665,食品,2441,2,楽天ペイ,東京,4882
65,3672,2024-09-03,793,書籍,17420,4,銀行振込,福岡,69680
66,9086,2024-11-23,987,家具,811,1,現金,福岡,811
67,3429,2024-07-12,190,家具,2439,1,PayPay,福岡,2439
68,9194,2025-05-04,514,衣類,16386,3,楽天ペイ,名古屋,49158
69,4923,2024-09-02,605,家具,4653,3,現金,東京,13959
70,7524,2024-12-24,815,衣類,17994,4,銀行振込,東京,71976
71,7758,2024-10-14,162,家電,2527,2,楽天ペイ,福岡,5054
72,6191,2025-03-21,992,家具,11710,3,クレジットカード,大阪,35130
73,9148,2025-01-27,722,食品,1022,3,PayPay,東京,3066
74,4744,2024-08-07,369,食品,7310,2,楽天ペイ,札幌,14620
75,7304,2025-02-20,582,衣類,17727,3,楽天ペイ,名古屋,53181
76,5329,2024-06-05,655,書籍,571,2,銀行振込,福岡,1142
77,9570,2025-03-30,362,家具,9266,3,クレジットカード,東京,27798
78,4710,2024-11-08,416,衣類,15055,2,クレジットカード,福岡,30110
79,1534,2025-01-27,450,家電,11249,1,PayPay,札幌,11249
80,5803,2024-10-18,156,衣類,1617,1,銀行振込,東京,1617
81,4114,2025-01-05,635,家電,13215,3,銀行振込,東京,39645
82,1350,2024-08-19,945,食品,4217,1,クレジットカード,東京,4217
83,5401,2025-04-05,873,書籍,9381,3,PayPay,大阪,28143
84,4948,2024-12-04,539,家電,8264,3,現金,東京,24792
85,2698,2025-03-07,556,家具,12948,3,銀行振込,名古屋,38844
86,1109,2024-11-27,310,食品,4651,4,PayPay,東京,18604
87,1749,2024-11-06,677,書籍,1417,4,楽天ペイ,福岡,5668
88,7080,2025-02-07,741,食品,6894,2,現金,東京,13788
89,5930,2024-07-02,402,家具,15232,4,PayPay,東京,60928
90,5507,2025-03-15,604,食品,5333,3,現金,東京,15999
91,6225,2025-04-14,127,家電,3882,2,現金,名古屋,7764
92,4173,2024-12-31,644,家電,10921,3,PayPay,札幌,32763
93,6232,2025-01-18,260,家具,13267,2,クレジットカード,東京,26534
94,9824,2025-02-27,545,衣類,14546,4,楽天ペイ,大阪,58184
95,7685,2024-12-10,287,食品,8996,1,PayPay,福岡,8996
96,9189,2024-09-21,715,書籍,5603,4,クレジットカード,札幌,22412
97,6032,2024-11-27,469,家電,2078,2,クレジットカード,札幌,4156
98,5461,2025-04-05,547,衣類,19868,4,PayPay,名古屋,79472
99,1692,2024-08-18,904,家電,14563,4,現金,名古屋,58252
100,7172,2025-04-02,180,家具,13263,3,銀行振込,札幌,39789
101,4491,2025-01-01,612,家具,12692,3,PayPay,福岡,38076
102,8748,2024-12-10,792,食品,10210,2,PayPay,名古屋,20420
103,9497,2025-01-10,248,食品,14873,2,現金,札幌,29746
104,9017,2024-06-06,411,食品,12250,2,現金,札幌,24500
105,8161,2024-06-06,366,書籍,17403,4,クレジットカード,東京,69612
106,1448,2024-08-20,775,衣類,5609,1,銀行振込,名古屋,5609
107,1004,2024-12-24,619,衣類,2865,3,クレジットカード,名古屋,8595
108,3543,2025-03-25,326,家具,4578,4,クレジットカード,大阪,18312
109,2760,2024-12-30,440,衣類,2950,2,クレジットカード,名古屋,5900
110,8535,2025-03-26,900,家具,6588,4,銀行振込,大阪,26352
111,4129,2024-10-25,641,食品,12802,1,PayPay,福岡,12802
112,5821,2024-06-20,252,家具,1996,3,PayPay,名古屋,5988
113,9308,2025-01-28,836,家具,3727,3,クレジットカード,福岡,11181
114,7859,2025-01-10,311,書籍,5534,1,銀行振込,札幌,5534
115,6721,2024-06-06,901,食品,1635,2,銀行振込,福岡,3270
116,9316,2024-12-10,534,家電,900,1,クレジットカード,大阪,900
117,1036,2024-09-16,817,書籍,2094,4,銀行振込,札幌,8376
118,5817,2024-09-29,570,家電,574,3,楽天ペイ,福岡,1722
119,2586,2024-09-28,349,家具,9965,3,現金,福岡,29895
120,3470,2025-04-13,190,家具,5156,1,銀行振込,名古屋,5156
121,6911,2025-01-28,430,家具,15680,3,PayPay,東京,47040
122,8624,2024-05-25,354,食品,11804,3,楽天ペイ,福岡,35412
123,6626,2025-05-02,882,家電,12903,4,PayPay,札幌,51612
124,2842,2025-02-24,388,書籍,19323,3,楽天ペイ,東京,57969
125,6660,2024-10-08,485,書籍,8990,1,クレジットカード,大阪,8990
126,4402,2024-12-20,783,食品,15723,3,楽天ペイ,札幌,47169
127,6205,2024-07-11,457,衣類,10975,1,クレジットカード,札幌,10975
128,5561,2024-11-21,490,衣類,15945,1,現金,名古屋,15945
129,1528,2024-11-29,442,家具,15442,3,クレジットカード,札幌,46326
130,7225,2025-02-26,860,衣類,13181,2,クレジットカード,東京,26362
131,3808,2024-08-10,462,食品,14486,3,楽天ペイ,札幌,43458
132,5776,2024-09-20,955,家電,5065,2,クレジットカード,福岡,10130
133,6652,2024-06-01,358,衣類,6278,4,現金,札幌,25112
134,4301,2024-09-17,340,家電,19815,4,クレジットカード,福岡,79260
135,2350,2024-09-02,853,食品,5192,3,銀行振込,名古屋,15576
136,9298,2025-03-22,637,食品,14066,1,楽天ペイ,札幌,14066
137,7188,2024-08-31,270,衣類,19058,4,銀行振込,名古屋,76232
138,7651,2025-01-07,553,衣類,1920,2,銀行振込,名古屋,3840
139,1900,2025-02-16,555,書籍,15987,2,現金,大阪,31974
140,7315,2024-10-01,542,家電,19587,4,現金,福岡,78348
141,9680,2025-04-22,551,食品,4651,3,PayPay,札幌,13953
142,8038,2025-02-26,164,書籍,11038,2,PayPay,大阪,22076
143,5346,2024-09-03,657,食品,16593,3,銀行振込,東京,49779
144,6637,2024-05-28,608,食品,11441,3,現金,札幌,34323
145,7389,2024-12-13,396,家電,7580,4,楽天ペイ,札幌,30320
146,4105,2024-05-12,187,家電,19084,3,クレジットカード,札幌,57252
147,2350,2024-08-30,274,家具,5729,3,PayPay,大阪,17187
148,8466,2024-06-17,329,家電,19935,3,PayPay,福岡,59805
149,4398,2024-10-04,504,家電,12811,4,現金,大阪,51244
150,9788,2024-05-15,203,衣類,5009,2,現金,名古屋,10018
151,2293,2024-08-08,631,書籍,14465,4,PayPay,大阪,57860
152,1131,2024-10-13,285,家電,18767,2,楽天ペイ,福岡,37534
153,9277,2025-03-01,657,家具,10597,3,銀行振込,東京,31791
154,5951,2024-06-23,292,家電,821,4,クレジットカード,名古屋,3284
155,9092,2024-12-06,503,衣類,11343,3,クレジットカード,札幌,34029
156,6323,2025-01-02,900,家具,5519,2,楽天ペイ,名古屋,11038
157,8155,2024-11-18,240,食品,5277,1,楽天ペイ,札幌,5277
158,1282,2025-04-15,224,書籍,6652,4,クレジットカード,名古屋,26608
159,5151,2024-06-28,360,家電,15257,2,クレジットカード,名古屋,30514
160,9838,2024-06-11,637,衣類,11031,2,PayPay,大阪,22062
161,2680,2024-12-28,881,家電,14756,1,銀行振込,福岡,14756
162,1716,2024-11-08,592,衣類,2543,4,PayPay,大阪,10172
163,7736,2024-08-14,573,書籍,11451,2,クレジットカード,東京,22902
164,8171,2024-09-12,588,衣類,4605,1,銀行振込,東京,4605
165,7719,2024-09-14,825,食品,1686,3,現金,大阪,5058
166,9893,2025-01-20,562,衣類,13702,1,楽天ペイ,札幌,13702
167,6527,2024-09-28,463,家電,17784,4,クレジットカード,名古屋,71136
168,5749,2024-08-17,896,書籍,17634,3,銀行振込,東京,52902
169,7117,2025-02-06,732,家電,19260,3,銀行振込,東京,57780
170,2901,2024-05-14,581,家具,17749,2,現金,福岡,35498
