customer_id,名前,性別,年齢,登録日,住所_地域
1000,顧客_0,その他,27,2023-06-03,東京
1001,顧客_1,女性,39,2023-06-24,東京
1002,顧客_2,女性,23,2023-10-12,名古屋
1003,顧客_3,女性,59,2024-02-26,東京
1004,顧客_4,女性,48,2024-12-22,東京
1005,顧客_5,その他,54,2023-08-07,福岡
1006,顧客_6,その他,20,2024-07-03,大阪
1007,顧客_7,その他,52,2025-04-01,札幌
1008,顧客_8,男性,45,2025-04-25,名古屋
1009,顧客_9,その他,45,2024-03-21,福岡
1010,顧客_10,男性,60,2024-06-13,名古屋
1011,顧客_11,その他,49,2025-04-26,大阪
1012,顧客_12,女性,20,2024-02-15,東京
1013,顧客_13,その他,52,2023-07-17,東京
1014,顧客_14,その他,56,2023-07-22,福岡
1015,顧客_15,女性,64,2025-02-23,名古屋
1016,顧客_16,男性,41,2024-05-04,名古屋
1017,顧客_17,その他,34,2024-05-30,札幌
1018,顧客_18,男性,21,2023-07-21,札幌
1019,顧客_19,男性,69,2024-07-19,福岡
1020,顧客_20,女性,66,2023-08-20,福岡
1021,顧客_21,女性,37,2024-12-31,札幌
1022,顧客_22,女性,35,2024-01-22,東京
1023,顧客_23,男性,53,2023-07-21,大阪
1024,顧客_24,女性,25,2023-12-15,東京
1025,顧客_25,女性,67,2024-10-23,大阪
1026,顧客_26,男性,53,2023-12-27,札幌
1027,顧客_27,男性,47,2024-05-19,大阪
1028,顧客_28,その他,65,2023-09-03,福岡
1029,顧客_29,女性,43,2024-04-14,名古屋
1030,顧客_30,男性,46,2024-04-01,東京
1031,顧客_31,男性,66,2024-06-26,東京
1032,顧客_32,女性,61,2025-02-02,東京
1033,顧客_33,男性,38,2024-02-14,大阪
1034,顧客_34,女性,39,2024-06-14,東京
1035,顧客_35,男性,41,2024-01-25,名古屋
1036,顧客_36,女性,23,2023-12-28,札幌
1037,顧客_37,その他,67,2023-10-16,札幌
1038,顧客_38,その他,24,2024-12-26,東京
1039,顧客_39,その他,53,2025-04-26,名古屋
1040,顧客_40,男性,25,2024-06-20,東京
1041,顧客_41,男性,61,2024-03-23,福岡
1042,顧客_42,男性,43,2024-10-16,大阪
1043,顧客_43,女性,46,2024-09-07,大阪
1044,顧客_44,その他,62,2025-02-16,札幌
1045,顧客_45,男性,42,2025-04-16,札幌
1046,顧客_46,その他,50,2024-05-11,名古屋
1047,顧客_47,その他,31,2023-06-03,名古屋
1048,顧客_48,男性,68,2024-08-17,大阪
1049,顧客_49,女性,26,2024-11-17,大阪
1050,顧客_50,男性,54,2024-06-30,福岡
1051,顧客_51,その他,53,2023-11-04,札幌
1052,顧客_52,その他,39,2023-12-24,名古屋
1053,顧客_53,男性,23,2024-12-03,福岡
1054,顧客_54,女性,37,2023-12-19,福岡
1055,顧客_55,その他,68,2023-06-08,札幌
1056,顧客_56,その他,31,2023-08-14,東京
1057,顧客_57,女性,43,2024-04-25,福岡
1058,顧客_58,男性,42,2023-10-23,札幌
1059,顧客_59,女性,35,2025-04-02,福岡
1060,顧客_60,その他,45,2023-10-24,大阪
1061,顧客_61,女性,58,2025-04-18,福岡
1062,顧客_62,男性,64,2024-12-05,名古屋
1063,顧客_63,女性,42,2024-04-07,札幌
1064,顧客_64,女性,30,2025-02-04,東京
1065,顧客_65,男性,19,2024-07-25,大阪
1066,顧客_66,女性,18,2024-03-22,東京
1067,顧客_67,男性,41,2024-03-27,福岡
1068,顧客_68,その他,39,2024-06-20,大阪
1069,顧客_69,その他,22,2024-10-30,名古屋
1070,顧客_70,女性,66,2024-08-28,名古屋
1071,顧客_71,女性,60,2023-11-08,札幌
