イヌパワー,ネコスピード,カメバリア,サルジャンプ,ドラゴンポイント,タヌキ運,フクロウ知恵,ライオン勇気,ウサギ敏捷,ペンギン冷静
86,36,31,84,32,68,89,36,84,53
87,35,27,88,74,51,60,95,38,47
23,4,62,76,52,89,87,47,8,70
44,22,62,2,28,33,37,57,30,53
11,47,82,3,94,16,66,91,79,72
8,81,80,22,71,75,25,76,94,1
53,29,28,57,30,19,93,18,47,52
32,66,34,61,34,41,68,19,25,31
14,30,33,71,38,25,5,76,12,55
51,31,75,59,49,37,38,57,69,42
50,7,59,92,13,81,61,37,84,95
74,80,18,47,97,76,22,63,13,48
20,57,21,75,35,13,6,24,50,12
75,71,39,91,32,97,58,13,11,77
52,67,33,83,24,21,28,94,57,25
84,84,33,10,48,2,42,34,74,29
94,0,6,86,46,27,19,65,19,51
60,62,75,22,45,35,38,54,93,81
56,1,82,6,29,83,28,66,11,13
39,89,97,34,80,20,3,17,94,36
76,14,29,33,73,65,68,31,50,24
5,57,39,71,43,59,57,70,71,53
67,9,91,45,76,16,60,3,84,2
52,59,8,71,86,23,100,61,87,47
49,21,11,84,27,70,66,22,37,14
44,82,94,89,32,56,86,75,1,39
93,85,27,67,18,31,31,17,50,32
64,15,82,15,23,31,36,58,80,18
94,63,24,82,10,1,48,70,61,66
82,99,48,97,47,11,12,66,43,1
37,75,94,41,21,41,46,67,31,73
73,93,17,24,34,34,63,5,8,100
76,47,34,38,68,20,18,65,20,15
27,74,11,30,9,17,38,80,75,24
23,65,21,88,9,17,57,1,37,20
16,10,38,31,82,42,21,12,95,75
35,77,29,100,31,16,74,89,44,54
72,40,94,30,1,68,28,86,88,11
75,32,80,52,50,55,2,79,35,80
87,95,65,31,90,14,70,96,9,95
29,98,85,45,46,30,92,18,70,88
5,18,68,71,4,100,3,82,42,83
78,38,12,15,51,53,61,89,33,15
39,19,22,87,31,29,75,100,4,57
43,78,33,29,6,75,100,51,19,8
47,6,75,87,38,49,29,34,31,61
59,21,85,6,33,87,89,88,12,88
87,63,75,96,94,66,93,65,9,80
32,30,60,32,60,70,93,4,25,12
51,32,5,92,1,39,100,6,68,47
83,27,88,13,21,17,14,32,0,30
51,35,90,75,32,60,78,64,43,99
92,72,1,33,84,10,22,37,6,16
20,25,7,38,69,45,97,99,68,84
72,40,9,33,43,89,69,19,18,91
67,78,65,59,9,30,28,40,19,88
57,60,90,46,48,45,26,93,94,78
49,41,76,5,46,19,56,89,65,89
84,16,51,61,17,36,93,43,91,14
65,47,29,51,97,69,87,87,9,17
31,12,100,36,90,0,21,28,22,41
31,42,39,34,85,18,17,14,9,15
25,71,41,28,54,22,45,87,32,42
45,19,95,0,90,54,0,14,26,7
72,63,41,97,94,94,53,52,14,56
70,64,76,14,61,53,22,40,40,25
71,53,50,39,72,60,69,89,68,4
21,70,71,25,80,19,53,24,28,47
58,9,30,75,35,97,16,92,72,83
34,89,23,45,98,35,58,48,72,64
51,90,90,65,73,36,52,72,19,61
19,82,95,88,99,59,99,43,72,24
25,7,26,86,20,38,39,61,52,44
9,52,50,93,53,27,58,62,68,97
76,24,25,6,78,8,22,6,15,87
12,71,73,77,42,28,20,1,45,38
84,98,69,40,73,7,49,29,58,30
84,48,14,79,51,39,73,68,74,17
0,71,95,19,98,95,62,35,53,97
89,28,54,60,0,91,8,80,77,84
77,12,60,2,46,74,81,94,57,89
9,61,83,47,82,28,98,81,31,76
77,53,82,78,68,25,50,38,93,9
91,79,59,96,37,56,100,75,8,58
87,4,89,23,0,47,81,44,50,31
81,67,30,85,32,72,52,80,42,81
68,9,45,63,31,56,54,91,22,53
25,40,46,62,6,91,51,34,32,88
75,1,95,18,73,24,98,26,49,12
88,52,90,68,88,59,79,9,64,72
59,54,86,56,71,99,82,36,16,71
16,1,40,100,62,98,20,99,64,51
37,97,61,99,73,18,35,43,25,61
63,80,99,1,24,18,39,2,8,6
37,62,51,69,69,2,10,20,60,69
22,53,53,74,62,59,66,22,42,64
80,44,31,3,63,23,79,91,85,72
28,54,3,48,77,23,17,72,28,76
32,97,22,80,23,77,79,50,28,92
57,45,25,82,52,37,39,59,38,59
54,92,2,44,4,87,67,77,12,59
36,61,18,14,11,11,63,32,69,98
38,17,45,90,19,40,11,92,60,1
55,84,13,11,71,6,34,18,75,77
72,49,85,16,94,41,30,8,59,6
20,8,41,72,28,23,75,39,44,56
55,74,15,31,86,9,78,24,87,75
34,45,90,66,25,87,50,43,46,83
40,87,83,30,9,96,27,50,42,93
28,47,40,82,46,27,33,62,99,45
85,8,35,46,28,6,29,43,50,32
88,69,39,23,35,37,96,8,22,72
69,86,26,84,28,62,48,60,38,68
90,8,51,56,42,34,25,57,11,53
68,76,18,58,40,52,78,67,23,87
68,85,85,98,84,95,68,97,16,53
40,30,78,65,27,39,13,20,77,22
5,32,90,24,35,77,32,91,56,36
30,62,44,75,12,40,34,4,33,5
90,66,45,88,7,59,21,28,30,9
24,6,100,31,26,92,15,57,55,80
